Node_id,Node name,Skill tree ID,Branch,Excercise id,Previous Node_id,Difficulty,(Optional) weight setting
pullups_scapular_pull,Scapular Pull Ups,pullups,foundation,scapular_pull_ups,,1,
pullups_pull_up_negative,Negative Pull Up,pullups,foundation,negative_pull_up,pullups_scapular_pull,2,
pullups_assisted_pull_up,Pull Up (Assisted),pullups,foundation,pull_up_assisted,pullups_pull_up_negative,3,
pullups_pull_up,Pull Up,pullups,foundation,pull_up,pullups_assisted_pull_up,4,
pullups_weighted_pull_up_115,Pull Up (+15% Bodyweight),pullups,weighted,pull_up_weighted,pullups_pull_up,4,user_bodyweight * 0.15
pullups_weighted_pull_up_135,Pull Up (+35% Bodyweigh),pullups,weighted,pull_up_weighted,pullups_weighted_pull_up_115,4,user_bodyweight * 0.35
pullups_weighted_pull_up_150,Pull Up (+50% Bodyweigh),pullups,weighted,pull_up_weighted,pullups_weighted_pull_up_135,5,user_bodyweight * 0.50
pullups_weighted_pull_up_165,Pull Up (+65% Bodyweight),pullups,weighted,pull_up_weighted,pullups_weighted_pull_up_150,5,user_bodyweight * 0.65
pullups_weighted_pull_up_180,Pull Up (+80% Bodyweigh),pullups,weighted,pull_up_weighted,pullups_weighted_pull_up_165,5,user_bodyweight * 0.80
pullups_weighted_pull_up_190,Pull Up (+90% Bodyweigh),pullups,weighted,pull_up_weighted,pullups_weighted_pull_up_180,5,user_bodyweight * 0.90
pullups_weighted_pull_up_200,Pull Up (+100% Bodyweigh),pullups,weighted,pull_up_weighted,pullups_weighted_pull_up_190,5,user_bodyweight * 1.00
pullups_close_grip_pull_up,Pull Up (Close Grip),pullups,close_grip,pull_up_close_grip,pullups_pull_up,4,
pullups_wide_grip_pull_up,Wide Pull Up,pullups,close_grip,wide_pull_up,pullups_close_grip_pull_up,4,
pullups_typewriter_pull_up,Pull Up (Typewriter),pullups,close_grip,pull_up_typewriter,pullups_wide_grip_pull_up,5,
pullups_archer_pull_up,Pull Up (Archer),pullups,close_grip,pull_up_archer,pullups_typewriter_pull_up,5,
pullups_sternum_pull_up,Pull Up (Chest to Bar),pullups,close_grip,pull_up_chest_to_bar,pullups_archer_pull_up,5,
pullups_belly_button_pull_up,Pull Up (Belly Button),pullups,close_grip,pull_up_belly_button,pullups_sternum_pull_up,5,
pullups_l_sit_pull_up,Pull Up (L-Sit),pullups,l_sit,pull_up_l_sit,pullups_pull_up,4,
pullups_pull_over,Bar Pullover,pullups,l_sit,bar_pullover,pullups_l_sit_pull_up,5,
pullups_one_arm_towel_assisted_chin_up,"Chin Up (One Arm, Towel Assisted)",pullups,one_arm,chin_up_one_arm_towel_assisted,pullups_pull_up,5,
pullups_one_arm_pull_up_eccentric,"Pull Up (One Arm, Eccentric)",pullups,one_arm,pull_up_one_arm_eccentric,pullups_one_arm_towel_assisted_chin_up,5,
pullups_half_one_arm_chin_up,"Chin Up (One Arm, Half Range)",pullups,one_arm,chin_up_one_arm_half_range,pullups_one_arm_pull_up_eccentric,5,
pullups_one_arm_chin_up,Chin Up (One Arm),pullups,one_arm,chin_up_one_arm,pullups_half_one_arm_chin_up,5,
rows_vertical_rows,Inverted Row (Incline),rows,foundation,inverted_row_incline,,1,
rows_inverted_rows_bent_legs,Inverted Row (Bent Legs),rows,foundation,inverted_row_bent_legs,rows_vertical_rows,1,
rows_inverted_rows_straight_legs,Inverted Row (Straight Legs),rows,foundation,inverted_row_straight_legs,rows_inverted_rows_bent_legs,2,
