Skill tree,Skill tree id,Branch name,Branch id,Step,Exercise,Exercise id,Difficulty,Previous node,Previous node id,Prerequisite ids,Shared foundation,Movement pattern,Measured in,Tree order
Pullups,pullups,Weighted,weighted,1,Scapular Pull,pullups_scapular_pull,1,,,,yes,Vertical Pull,reps,0
Pullups,pullups,Weighted,weighted,2,Arch Hang,pullups_arch_hang,2,Scapular Pull,pullups_scapular_pull,pullups_scapular_pull,yes,Vertical Pull,seconds,1
Pullups,pullups,Weighted,weighted,3,Pull Up Negatives,pullups_pull_up_negative,2,Arch Hang,pullups_arch_hang,pullups_arch_hang,yes,Vertical Pull,reps,2
Pullups,pullups,Weighted,weighted,4,Assisted Pull-Up,pullups_assisted_pull_up,3,Pull Up Negatives,pullups_pull_up_negative,pullups_pull_up_negative,yes,Vertical Pull,reps,3
Pullups,pullups,Weighted,weighted,5,Pull-Up,pullups_pull_up,4,Assisted Pull-Up,pullups_assisted_pull_up,pullups_assisted_pull_up,yes,Vertical Pull,reps,4
Pullups,pullups,Weighted,weighted,6,1.15x Bodyweight,pullups_weighted_pull_up_115,4,Pull-Up,pullups_pull_up,pullups_pull_up,no,Vertical Pull,reps,5
Pullups,pullups,Weighted,weighted,7,1.35x Bodyweight,pullups_weighted_pull_up_135,4,1.15x Bodyweight,pullups_weighted_pull_up_115,pullups_weighted_pull_up_115,no,Vertical Pull,reps,6
Pullups,pullups,Weighted,weighted,8,1.5x Bodyweight,pullups_weighted_pull_up_150,5,1.35x Bodyweight,pullups_weighted_pull_up_135,pullups_weighted_pull_up_135,no,Vertical Pull,reps,7
Pullups,pullups,Weighted,weighted,9,1.65x Bodyweight,pullups_weighted_pull_up_165,5,1.5x Bodyweight,pullups_weighted_pull_up_150,pullups_weighted_pull_up_150,no,Vertical Pull,reps,8
Pullups,pullups,Weighted,weighted,10,1.8x Bodyweight,pullups_weighted_pull_up_180,5,1.65x Bodyweight,pullups_weighted_pull_up_165,pullups_weighted_pull_up_165,no,Vertical Pull,reps,9
Pullups,pullups,Weighted,weighted,11,1.9x Bodyweight,pullups_weighted_pull_up_190,5,1.8x Bodyweight,pullups_weighted_pull_up_180,pullups_weighted_pull_up_180,no,Vertical Pull,reps,10
Pullups,pullups,Weighted,weighted,12,2x Bodyweight,pullups_weighted_pull_up_200,5,1.9x Bodyweight,pullups_weighted_pull_up_190,pullups_weighted_pull_up_190,no,Vertical Pull,reps,11
Pullups,pullups,High Pull-up,close_grip,1,Scapular Pull,pullups_scapular_pull,1,,,,yes,Vertical Pull,reps,0
Pullups,pullups,High Pull-up,close_grip,2,Arch Hang,pullups_arch_hang,2,Scapular Pull,pullups_scapular_pull,pullups_scapular_pull,yes,Vertical Pull,seconds,1
Pullups,pullups,High Pull-up,close_grip,3,Pull Up Negatives,pullups_pull_up_negative,2,Arch Hang,pullups_arch_hang,pullups_arch_hang,yes,Vertical Pull,reps,2
Pullups,pullups,High Pull-up,close_grip,4,Assisted Pull-Up,pullups_assisted_pull_up,3,Pull Up Negatives,pullups_pull_up_negative,pullups_pull_up_negative,yes,Vertical Pull,reps,3
Pullups,pullups,High Pull-up,close_grip,5,Pull-Up,pullups_pull_up,4,Assisted Pull-Up,pullups_assisted_pull_up,pullups_assisted_pull_up,yes,Vertical Pull,reps,4
Pullups,pullups,High Pull-up,close_grip,6,Close-Grip Pull-Up,pullups_close_grip_pull_up,4,Pull-Up,pullups_pull_up,pullups_pull_up,no,Vertical Pull,reps,5
Pullups,pullups,High Pull-up,close_grip,7,Wide-Grip Pull-Up,pullups_wide_grip_pull_up,4,Close-Grip Pull-Up,pullups_close_grip_pull_up,pullups_close_grip_pull_up,no,Vertical Pull,reps,6
Pullups,pullups,High Pull-up,close_grip,8,Typewriter Pull-Up,pullups_typewriter_pull_up,5,Wide-Grip Pull-Up,pullups_wide_grip_pull_up,pullups_wide_grip_pull_up,no,Vertical Pull,reps,7
Pullups,pullups,High Pull-up,close_grip,9,Archer Pull-Up,pullups_archer_pull_up,5,Typewriter Pull-Up,pullups_typewriter_pull_up,pullups_typewriter_pull_up,no,Vertical Pull,reps,8
Pullups,pullups,High Pull-up,close_grip,10,Chest-to-Bar Pull-Up,pullups_sternum_pull_up,5,Archer Pull-Up,pullups_archer_pull_up,pullups_archer_pull_up,no,Vertical Pull,reps,9
Pullups,pullups,High Pull-up,close_grip,11,Belly Button Pullups,pullups_belly_button_pull_up,5,Chest-to-Bar Pull-Up,pullups_sternum_pull_up,pullups_sternum_pull_up,no,Vertical Pull,reps,10
Pullups,pullups,L-Sit,l_sit,1,Scapular Pull,pullups_scapular_pull,1,,,,yes,Vertical Pull,reps,0
